station_id,station_name,coord1_name,coord2_name,latitude_1,longitude_1,latitude_2,longitude_2,distance_meters,distance_km
467290,古坑,,,23.635401,120.543769,23.633639,120.551889,850.0556362586045,0.8500556362586045
C2C410,中央大學,,,24.969417,121.176946,24.967652,121.185165,851.4249542255387,0.8514249542255388
A0A460,文化大學,,,25.137855,121.531657,25.13605,121.53987,850.7686997450214,0.8507686997450215
A0A010,臺灣大學,,,25.01606,121.531193,25.014278,121.539416,851.9490212212881,0.8519490212212881
72S200,班鳩分場,,,22.831307,121.069619,22.829528,121.077694,850.8693667535348,0.8508693667535348
72S590,賓朗果園,,,22.815668,121.063204,22.813889,121.071278,850.862137757761,0.8508621377577611
82S580,臺東茶改,,,22.909476,121.12206,22.907694,121.130139,850.8824353198727,0.8508824353198727
U2H480,臺大溪頭,,,23.672071,120.790065,23.670306,120.798194,850.7988306276593,0.8507988306276593
72G600,臺中農改,,,24.004779,120.526236,24.003028,120.534389,850.7492296525236,0.8507492296525235
72K220,雲林分場,,,23.636304,120.469202,23.634556,120.477333,850.7834543820098,0.8507834543820099
72N100,臺南農改,,,23.062242,120.334096,23.0605,120.342194,850.8395849870478,0.8508395849870478
72V140,旗南農改,,,22.859612,120.508583,22.857861,120.516667,850.8808740042879,0.8508808740042879
72Q010,高雄農改,,,22.711084,120.517814,22.709333,120.525889,850.8606736519306,0.8508606736519306
B2E890,新竹畜試,,,24.529569,120.762788,24.527806,120.770972,850.7864579761449,0.8507864579761449
72C440,桃園農改,,,24.952721,121.022375,24.950944,121.030583,850.7641795138529,0.850764179513853
72D080,五峰站,,,24.613978,121.148983,24.612194,121.157167,850.785492014097,0.850785492014097
82C160,茶改場,,,24.910258,121.17713,24.908472,121.185333,850.7841123477516,0.8507841123477516
A2C560,農工中心,,,24.987706,121.231626,24.985917,121.239833,850.74838758497,0.8507483875849701
82A750,文山茶改,,,24.957588,121.623022,24.955778,121.631222,850.8085942619111,0.8508085942619111
72U480,蘭陽分場,,,24.688121,121.708402,24.686306,121.716583,850.8243137457226,0.8508243137457226
K2E360,苗栗農改,,,24.497488,120.82093,24.495722,120.829111,850.7737280936941,0.8507737280936941
K2E710,大湖分場,,,24.42463,120.863657,24.422861,120.871833,850.8242837483044,0.8508242837483044
K2F750,種苗繁殖,,,24.227737,120.792753,24.225972,120.800917,850.7897344087935,0.8507897344087935
82H840,凍頂茶改,,,23.76429,120.732364,23.762528,120.7405,850.8457090398653,0.8508457090398652
82H320,魚池茶改,,,23.877382,120.905442,23.875611,120.913583,850.8697353017458,0.8508697353017458
U2HA50,臺大竹山,,,23.758731,120.67342,23.756972,120.681556,850.8033653007413,0.8508033653007413
G2L020,嘉義農試,,,23.486776,120.465684,23.485028,120.473806,850.8080930106269,0.8508080930106269
72M360,義竹分場,,,23.362432,120.271244,23.360694,120.279361,850.8164454285394,0.8508164454285394
B2N890,畜試所,,,23.060713,120.328308,23.058972,120.336406,850.8234399562201,0.8508234399562201
G2P820,鳳山農試,,,22.648354,120.34801,22.646611,120.356083,850.8267554574544,0.8508267554574543
B2Q810,恆春畜試,,,21.947348,120.794139,21.945583,120.802167,850.9259969851842,0.8509259969851841
72T250,花蓮農改,,,23.977028,121.555752,23.975222,121.563889,850.7635819679393,0.8507635819679393
E2H360,蓮華池,,,23.920106,120.877136,23.918333,120.885278,850.7541075933657,0.8507541075933657
72HA00,埔里分場,,,23.904982,120.955222,23.903208,120.963364,850.8741107880968,0.8508741107880968
U2HA30,臺大和社,,,23.592633,120.880744,23.590856,120.888864,850.7042405237831,0.8507042405237831
U2HA40,臺大內茅埔,,,23.691497,120.842992,23.689722,120.851117,850.5401311793883,0.8505401311793882
G2M350,溪口農場,,,23.587406,120.399994,23.58565,120.408111,849.8993768864366,0.8498993768864366
E2K600,四湖植物園,,,23.678718,120.155296,23.676986,120.163433,850.712269110494,0.850712269110494
G2F820,農業試驗所,,,24.033022,120.679986,24.031261,120.688133,850.2344518794882,0.8502344518794882
72M700,嘉義分場,,,23.418608,120.274941,23.416869,120.283061,850.7977018982486,0.8507977018982487
72N240,七股研究中心,,,23.083472,120.054792,23.081672,120.062894,852.601774022832,0.852601774022832
42HA10,萬大發電廠,,,23.980611,121.131497,23.978875,121.139639,849.4320692340282,0.8494320692340281
12Q970,東港工作站,,,22.481778,120.458017,22.479997,120.466058,849.5757378232847,0.8495757378232848
12J990,口湖工作站,,,23.591722,120.172281,23.589978,120.180394,849.1704469974959,0.8491704469974959
